product_id;color;main_url;urls;;
1;Blue;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288214/1.1_asazrp.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288214/1.2_acfmnm.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288215/1.3_fct9ge.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288215/1.4_kcb0uv.png
1;White;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288213/1.1.1_adp5cn.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288214/1.1.2_dnv5hu.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288213/1.1.3_yfrnox.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288214/1.1.4_zbsnj7.png
2;Brown;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288216/2.1_jdtxf0.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288216/2.2_trpcpz.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288217/2.3_pjycqk.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288217/2.4_fq6spi.png
3;Red;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288218/3.1_e9tvpc.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288218/3.2_pkvalz.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288219/3.3_o0uovd.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288219/3.4_trnb12.png
4;White;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288220/4.1_nlasw3.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288220/4.2_zrpekp.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288220/4.3_pgqzpl.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288221/4.4_rtllhk.png
5;Brown;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288221/5.1_q4srwx.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288222/5.2_o2jklu.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288222/5.3_jkz9d8.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1782288222/5.4_t3lwbt.png
6;Chalk;https://res.cloudinary.com/dmavecpcx/image/upload/v1784281595/6.1_huqiou.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1784281595/6.2_brzwal.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1784281595/6.3_khdpyx.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1784281596/6.4_gemo9u.png
7;White;https://res.cloudinary.com/dmavecpcx/image/upload/v1784281596/7.1-removebg-preview_vflljv.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1784281596/7.2-removebg-preview_okrijn.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1784281597/7.3-removebg-preview_gzbipx.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1784281597/7.4-removebg-preview_muvpme.png
8;Blush;https://res.cloudinary.com/dmavecpcx/image/upload/v1784281598/8.1-removebg-preview_fdqvfr.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1784281598/8.2-removebg-preview_qfbbaa.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1784281598/8.3-removebg-preview_f9alhc.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1784281599/8.4-removebg-preview_csszt8.png
9;White;https://res.cloudinary.com/dmavecpcx/image/upload/v1784281599/9.1-removebg-preview_ayvdol.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1784281600/9.2-removebg-preview_htunep.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1784281600/9.3-removebg-preview_slkt24.png;https://res.cloudinary.com/dmavecpcx/image/upload/v1784281601/9.4-removebg-preview_zbvf9n.png
